# Inverse Perspective Mapping -- 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=1080.0 px, cx=960.0, cy=540.0
# Image: 1920 x 1080
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
 1424    262    71.72742   -42.97462   166.95175
 1422    263    65.65180   -39.36266   153.47174
 1423    263    65.79390   -39.36266   153.47174
 1424    263    65.93601   -39.36266   153.47174
 1425    263    66.07811   -39.36266   153.47174
 1426    263    66.22021   -39.36266   153.47174
 1427    263    66.36232   -39.36266   153.47174
 1634    263    95.77773   -39.36266   153.47174
 1635    263    95.91983   -39.36266   153.47174
 1636    263    96.06194   -39.36266   153.47174
 1637    263    96.20404   -39.36266   153.47174
 1638    263    96.34615   -39.36266   153.47174
 1421    264    60.61548   -36.29040   142.00590
 1422    264    60.74697   -36.29040   142.00590
 1423    264    60.87845   -36.29040   142.00590
 1424    264    61.00994   -36.29040   142.00590
 1425    264    61.14143   -36.29040   142.00590
 1426    264    61.27291   -36.29040   142.00590
 1427    264    61.40440   -36.29040   142.00590
 1428    264    61.53589   -36.29040   142.00590
 1633    264    88.49071   -36.29040   142.00590
 1634    264    88.62220   -36.29040   142.00590
 1635    264    88.75368   -36.29040   142.00590
 1636    264    88.88517   -36.29040   142.00590
 1637    264    89.01666   -36.29040   142.00590
 1638    264    89.14815   -36.29040   142.00590
 1421    265    56.40172   -33.64528   132.13418
 1422    265    56.52407   -33.64528   132.13418
 1423    265    56.64641   -33.64528   132.13418
 1424    265    56.76876   -33.64528   132.13418
 1425    265    56.89111   -33.64528   132.13418
 1426    265    57.01345   -33.64528   132.13418
 1427    265    57.13580   -33.64528   132.13418
 1428    265    57.25814   -33.64528   132.13418
 1429    265    57.38049   -33.64528   132.13418
 1632    265    82.21682   -33.64528   132.13418
 1633    265    82.33917   -33.64528   132.13418
 1634    265    82.46152   -33.64528   132.13418
 1635    265    82.58386   -33.64528   132.13418
 1636    265    82.70621   -33.64528   132.13418
 1637    265    82.82856   -33.64528   132.13418
 1638    265    82.95090   -33.64528   132.13418
 1421    266    52.73573   -31.34401   123.54574
 1422    266    52.85012   -31.34401   123.54574
 1423    266    52.96452   -31.34401   123.54574
 1424    266    53.07891   -31.34401   123.54574
 1425    266    53.19331   -31.34401   123.54574
 1426    266    53.30770   -31.34401   123.54574
 1427    266    53.42209   -31.34401   123.54574
 1428    266    53.53649   -31.34401   123.54574
 1429    266    53.65088   -31.34401   123.54574
 1632    266    76.87291   -31.34401   123.54574
 1633    266    76.98730   -31.34401   123.54574
 1634    266    77.10170   -31.34401   123.54574
 1635    266    77.21609   -31.34401   123.54574
 1636    266    77.33048   -31.34401   123.54574
 1637    266    77.44488   -31.34401   123.54574
 1638    266    77.55927   -31.34401   123.54574
 1639    266    77.67367   -31.34401   123.54574
 1421    267    49.51722   -29.32365   116.00563
 1422    267    49.62463   -29.32365   116.00563
 1423    267    49.73204   -29.32365   116.00563
 1424    267    49.83946   -29.32365   116.00563
 1425    267    49.94687   -29.32365   116.00563
 1426    267    50.05428   -29.32365   116.00563
 1427    267    50.16169   -29.32365   116.00563
 1428    267    50.26911   -29.32365   116.00563
 1429    267    50.37652   -29.32365   116.00563
 1632    267    72.18128   -29.32365   116.00563
 1633    267    72.28869   -29.32365   116.00563
 1634    267    72.39611   -29.32365   116.00563
 1635    267    72.50352   -29.32365   116.00563
 1636    267    72.61093   -29.32365   116.00563
 1637    267    72.71834   -29.32365   116.00563
 1638    267    72.82576   -29.32365   116.00563
 1639    267    72.93317   -29.32365   116.00563
 1421    268    46.66897   -27.53570   109.33294
 1422    268    46.77020   -27.53570   109.33294
 1423    268    46.87143   -27.53570   109.33294
 1424    268    46.97267   -27.53570   109.33294
 1425    268    47.07390   -27.53570   109.33294
 1426    268    47.17514   -27.53570   109.33294
 1427    268    47.27637   -27.53570   109.33294
 1428    268    47.37761   -27.53570   109.33294
 1429    268    47.47884   -27.53570   109.33294
 1632    268    68.02938   -27.53570   109.33294
 1633    268    68.13062   -27.53570   109.33294
 1634    268    68.23185   -27.53570   109.33294
 1635    268    68.33308   -27.53570   109.33294
 1636    268    68.43432   -27.53570   109.33294
 1637    268    68.53555   -27.53570   109.33294
 1638    268    68.63679   -27.53570   109.33294
 1639    268    68.73802   -27.53570   109.33294
 1421    269    44.13056   -25.94226   103.38612
 1422    269    44.22629   -25.94226   103.38612
 1423    269    44.32201   -25.94226   103.38612
 1424    269    44.41774   -25.94226   103.38612
 1425    269    44.51347   -25.94226   103.38612
 1426    269    44.60920   -25.94226   103.38612
 1427    269    44.70492   -25.94226   103.38612
 1428    269    44.80065   -25.94226   103.38612
 1633    269    64.42487   -25.94226   103.38612
 1634    269    64.52060   -25.94226   103.38612
 1635    269    64.61633   -25.94226   103.38612
 1636    269    64.71205   -25.94226   103.38612
 1637    269    64.80778   -25.94226   103.38612
