# Inverse Perspective Mapping — 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=265.6 px, cx=321.0, cy=183.1
# Image: 640 x 360
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
  300    167    -0.67068    -0.51323     8.48370
  340    167     0.60718    -0.51323     8.48370
  298    168    -0.72147    -0.47271     8.33246
  299    168    -0.69010    -0.47271     8.33246
  300    168    -0.65872    -0.47271     8.33246
  301    168    -0.62734    -0.47271     8.33246
  302    168    -0.59597    -0.47271     8.33246
  338    168     0.53360    -0.47271     8.33246
  339    168     0.56498    -0.47271     8.33246
  340    168     0.59635    -0.47271     8.33246
  341    168     0.62773    -0.47271     8.33246
  342    168     0.65911    -0.47271     8.33246
  297    169    -0.73966    -0.43360     8.18651
  298    169    -0.70884    -0.43360     8.18651
  299    169    -0.67801    -0.43360     8.18651
  300    169    -0.64718    -0.43360     8.18651
  301    169    -0.61635    -0.43360     8.18651
  302    169    -0.58553    -0.43360     8.18651
  338    169     0.52425    -0.43360     8.18651
  339    169     0.55508    -0.43360     8.18651
  340    169     0.58591    -0.43360     8.18651
  341    169     0.61674    -0.43360     8.18651
  342    169     0.64756    -0.43360     8.18651
  343    169     0.67839    -0.43360     8.18651
  296    170    -0.75723    -0.39584     8.04558
  297    170    -0.72693    -0.39584     8.04558
  298    170    -0.69663    -0.39584     8.04558
  299    170    -0.66634    -0.39584     8.04558
  300    170    -0.63604    -0.39584     8.04558
  301    170    -0.60574    -0.39584     8.04558
  302    170    -0.57545    -0.39584     8.04558
  303    170    -0.54515    -0.39584     8.04558
  337    170     0.48493    -0.39584     8.04558
  338    170     0.51523    -0.39584     8.04558
  339    170     0.54553    -0.39584     8.04558
  340    170     0.57582    -0.39584     8.04558
  341    170     0.60612    -0.39584     8.04558
  342    170     0.63642    -0.39584     8.04558
  343    170     0.66671    -0.39584     8.04558
  344    170     0.69701    -0.39584     8.04558
  295    171    -0.77420    -0.35936     7.90943
  296    171    -0.74441    -0.35936     7.90943
  297    171    -0.71463    -0.35936     7.90943
  298    171    -0.68484    -0.35936     7.90943
  299    171    -0.65506    -0.35936     7.90943
  300    171    -0.62528    -0.35936     7.90943
  301    171    -0.59549    -0.35936     7.90943
  302    171    -0.56571    -0.35936     7.90943
  338    171     0.50651    -0.35936     7.90943
  339    171     0.53629    -0.35936     7.90943
  340    171     0.56608    -0.35936     7.90943
  341    171     0.59586    -0.35936     7.90943
  342    171     0.62565    -0.35936     7.90943
  343    171     0.65543    -0.35936     7.90943
  344    171     0.68521    -0.35936     7.90943
  345    171     0.71500    -0.35936     7.90943
  294    172    -0.79060    -0.32409     7.77780
  295    172    -0.76131    -0.32409     7.77780
  296    172    -0.73202    -0.32409     7.77780
  297    172    -0.70274    -0.32409     7.77780
  298    172    -0.67345    -0.32409     7.77780
  299    172    -0.64416    -0.32409     7.77780
  300    172    -0.61487    -0.32409     7.77780
  301    172    -0.58558    -0.32409     7.77780
  302    172    -0.55629    -0.32409     7.77780
  338    172     0.49808    -0.32409     7.77780
  339    172     0.52737    -0.32409     7.77780
  340    172     0.55666    -0.32409     7.77780
  341    172     0.58595    -0.32409     7.77780
  342    172     0.61523    -0.32409     7.77780
  343    172     0.64452    -0.32409     7.77780
  344    172     0.67381    -0.32409     7.77780
  345    172     0.70310    -0.32409     7.77780
  346    172     0.73239    -0.32409     7.77780
  293    173    -0.80647    -0.28997     7.65049
  294    173    -0.77766    -0.28997     7.65049
  295    173    -0.74885    -0.28997     7.65049
  296    173    -0.72004    -0.28997     7.65049
  297    173    -0.69123    -0.28997     7.65049
  298    173    -0.66242    -0.28997     7.65049
  299    173    -0.63362    -0.28997     7.65049
  300    173    -0.60481    -0.28997     7.65049
  301    173    -0.57600    -0.28997     7.65049
  339    173     0.51874    -0.28997     7.65049
  340    173     0.54755    -0.28997     7.65049
  341    173     0.57635    -0.28997     7.65049
  342    173     0.60516    -0.28997     7.65049
  343    173     0.63397    -0.28997     7.65049
